song_name,artist,deezer_url,year,notes
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://www.deezer.com/track/75981528,1987,
I Say a Little Prayer,Aretha Franklin,https://www.deezer.com/track/904785,1968,
Take A Chance On Me,ABBA,https://www.deezer.com/track/884028,1979,
Stuck In The Middle With You,Stealers Wheel,https://www.deezer.com/track/1577612,1972,
Lovely Day,Bill Withers,https://www.deezer.com/track/70016835,1977,
4 Raws,EsDeeKid,https://www.deezer.com/track/3399233781,2025,
Back In Black,AC/DC,https://www.deezer.com/track/92720046,1988,
"Paint It, Black",The Rolling Stones,https://www.deezer.com/track/7818900,1977,
Simple Man,Lynyrd Skynyrd,https://www.deezer.com/track/1559695,1995,
Welcome To The Jungle,Guns N' Roses,https://www.deezer.com/track/518458092,1986,
Livin' On A Prayer,Bon Jovi,https://www.deezer.com/track/538660022,1987,
Born To Be Wild,Steppenwolf,https://www.deezer.com/track/540202122,1968,
Every Breath You Take,The Police,https://www.deezer.com/track/2525864,1986,
Superstition,Stevie Wonder,https://www.deezer.com/track/596034702,1980,
Sultans of Swing,Dire Straits,https://www.deezer.com/track/85047166,1978,
Highway to Hell,AC/DC,https://www.deezer.com/track/92719900,1990,
More Than a Feeling,Boston,https://www.deezer.com/track/84340025,1976,
Sweet Home Alabama,Lynyrd Skynyrd,https://www.deezer.com/track/24949681,1977,
Free Bird,Lynyrd Skynyrd,https://www.deezer.com/track/1559717,1976,
Californication,Red Hot Chili Peppers,https://www.deezer.com/track/725274,1999,
Don't Stop Believin',Journey,https://www.deezer.com/track/625643,1984,
Thunderstruck,AC/DC,https://www.deezer.com/track/92720102,1991,
Can't Stop,Red Hot Chili Peppers,https://www.deezer.com/track/725971,2001,
Paradise City,Guns N' Roses,https://www.deezer.com/track/518458142,1986,
Hold the Line,Toto,https://www.deezer.com/track/1078779,1978,
Roxanne,The Police,https://www.deezer.com/track/2525877,1987,
I Love Rock 'N Roll,Joan Jett and the Blackhearts,https://www.deezer.com/track/545992732,1981,
You Shook Me All Night Long,AC/DC,https://www.deezer.com/track/92720048,1980,
Everlong,Foo Fighters,https://www.deezer.com/track/4762041,1998,
Seven Nation Army,The White Stripes,https://www.deezer.com/track/1153182282,2003,
Nothing Else Matters,Metallica,https://www.deezer.com/track/136408148,1992,
Basket Case,Green Day,https://www.deezer.com/track/678044,1994,
Tainted Love,Soft Cell,https://www.deezer.com/track/1763280727,1991,
Girls Just Want to Have Fun,Cyndi Lauper,https://www.deezer.com/track/72194071,1984,
Forever Young,Alphaville,https://www.deezer.com/track/698274,1985,
Are You Gonna Go My Way,Lenny Kravitz,https://www.deezer.com/track/3107395,1993,
